title,content
1,【确认】澳门永利太阳城(A数)本金：900币值：港币户口：枱红：150对子：14和：18.75幸运六
1,“我太感谢大法师父了！”我是山东省荣成市大法弟子。二零一六年八月的一天，我外出讲真相，碰到一位男士，我就给他讲大法真相。刚一开口那亀
1,向各'界民众展示法|轮|大|法的美好，并揭'露中.共廹害。法国前部长弗朗索瓦玆·奥斯塔丽女士全程参加了集会与游行，并发表演说。她在演说
1,世 界上只有中 共在关门造 假，编造'天 安门自 焚'等假新 闻，欺骗国 人，让国人诋毁、仇视佛法。“天·安门自·焚”
1,样本：《傀儡习近平日破烂污习民泽与私生女》老子教习近平:傀儡习近平 7 破烂污习民泽与私生女。灯亮。傀儡习近平日破烂污习民泽与私生女。
1,李克强杂种尹力杂种李建勤杂种死刑罪犯们还想柳到老子和余仪，想叫余仪安排他们几个杂种死刑罪犯叫传谈判死刑罪犯们赔偿老子钱！
1,"分明是一条晴纶毯,晴纶毯只能助燃"
1,爷爷爷爷爷爷爷爷爷爷爷爷爷爷爷爷爷你没上来吗？习近平习近平习近平习近平习近平习近平习近平习近平习近平习近平习近平
1,你看电视共产党过去根日本打掌，过去打掌日本对中国人啥样共产党向没有着事一样，共产党根日本人不干，对复中国人共产党干。共产党冤地气鹰地伯。
1,李儿狗: 拉丁香港噢的话说道阿拉丁香恶心中怕人民主流行动物噢的话说道理阿拉丁香甜蜜噢的话说恶心中国会议论噢的话阿拉丁香港台湾人民运动态
1,刘儿狗: 拉丁香港噢的话说道阿拉丁香恶心中怕人民主流行动物噢的话说道理阿拉丁香甜蜜噢的话说恶心中国会议论噢的话阿拉丁香港台湾人民运动态
1,他们死刑罪犯们太坏坏透了想烂拖套老子和余仪老习对待他们死刑罪犯们心善善良，就把余仪老习老子我我老公蒲波栗战书韩正汪洋王岐山中央好几个王
1,成哥杂种死刑罪犯们他杂种今上午那个样子想日弄老子又到北京上访他们死刑罪犯们就又把老子非法软禁到贵州省精神病院太坏坏透了
1,亏损失去年代表示威胁阿拉丁香港台湾人民主怕人民主义务实在这个
1,昨天中华民国台湾举行“双十节”的大规模阅兵，蔡英文十分神彩的发表讲话，赢得中华民国台湾各战区官员们和台湾人民的支持，这次阅兵参照习大大
